"","concat","lineage","treatment","id","round","census","size","nsize","sex","survival","reproduction","fecundity"
"1","10.2.1","10","l","2","1","0","0.0996","0.143051134110744","f","1","0",NA
"2","10.4.1","10","l","4","1","0","0.1215","0.167343566131139","f","1","0",NA
"3","10.5.1","10","l","5","1","0","0.1214","0.171489693156317","f","1","0",NA
"4","20.2.1","20","l","2","1","0","0.0944","0.13510501181864","f","1","0",NA
"5","20.4.1","20","l","4","1","0","0.0754","0.11720560220502","","1","0",NA
"6","10.17.1","10","l","17","1","0","0.0963","0.14271012218016","","1","0",NA
"7","12.3.1","12","h","3","1","0","0.1009","0.158172006513008","f","1","0",NA
"8","12.4.1","12","h","4","1","0","0.0963","0.144403471592509","f","1","0",NA
"9","15.1.1","15","h","1","1","0","0.0934","0.147717997220689","f","1","0",NA
"10","15.5.1","15","h","5","1","0","0.1092","0.163995166514575","f","1","0",NA
"11","15.6.1","15","h","6","1","0","0.0983","0.144083556573344","f","1","0",NA
"12","20.10.1","20","l","10","1","0","0.0938","0.138140331082995","f","1","0",NA
"13","18.2.1","18","h","2","1","0","0.1054","0.155540930867902","f","1","0",NA
"14","18.3.1","18","h","3","1","0","0.0892","0.140899283359811","","1","0",NA
"15","18.4.1","18","h","4","1","0","0.0853","0.13608319617255","","1","0",NA
"16","15.9.1","15","h","9","1","0","0.093","0.145547086489163","","1","0",NA
"17","15.12.1","15","h","12","1","0","0.0967","0.150032210582457","","1","0",NA
"18","20.18.1","20","l","18","1","0","0.0943","0.140320137536278","","1","0",NA
"19","7.8.1","7","l","8","1","0","0.0975","0.144139454342699","","1","0",NA
"20","11.1.1","11","h","1","1","0","0.0901","0.139780037251024","f","1","0",NA
"21","14.2.1","14","l","2","1","0","0.1039","0.148000463226872","f","1","0",NA
"22","12.5.1","12","h","5","1","0","0.0924","0.139309651094244","f","1","0",NA
"23","12.6.1","12","h","6","1","0","0.095","0.14515896196835","f","1","0",NA
"24","11.7.1","11","h","7","1","0","0.094","0.146951080455795","f","1","0",NA
"25","11.8.1","11","h","8","1","0","0.08631","0.137335046949682","","1","0",NA
"26","11.9.1","11","h","9","1","0","0.08631","0.138412684732645","f","1","0",NA
"27","11.10.1","11","h","10","1","0","0.0989","0.151152565958556","f","1","0",NA
"28","11.11.1","11","h","11","1","0","0.08631","0.137727511509907","f","1","0",NA
"29","11.12.1","11","h","12","1","0","0.08631","0.139748436165746","f","1","0",NA
"30","11.13.1","11","h","13","1","0","0.1037","0.158415132677949","","1","0",NA
"31","11.14.1","11","h","14","1","0","0.08631","0.137335046949682","","1","0",NA
"32","11.16.1","11","h","16","1","0","0.1041","0.157508442856123","f","1","0",NA
"33","11.17.1","11","h","17","1","0","0.08631","0.13685389554868","f","1","0",NA
"34","11.18.1","11","h","18","1","0","0.08631","0.139748436165746","f","1","0",NA
"35","9.4.1","9","l","4","1","0","0.0838","0.127603747718008","","1","0",NA
"36","12.9.1","12","h","9","1","0","0.0914","0.138860259076443","f","1","0",NA
"37","12.11.1","12","h","11","1","0","0.0944","0.146400012024314","f","1","0",NA
"38","12.12.1","12","h","12","1","0","0.0773","0.126046997280299","","1","0",NA
"39","10.20.1","10","l","20","1","0","0.0974","0.145062183656176","f","1","0",NA
