,lineage,focal.ID,round,treatment,f0.mother,collection.date,sex,size.mm,log size,larvalsize.mm,adult.size.mm,age,gomp,loggomp,resid,var
1,11,7,1,h,d,2/04/2020,f,0.094,-1.026872146,0.094,0.703,0,0.08631,-1.063938883,0.037066737,0.001373943
2,11,10,1,h,e,2/04/2020,f,0.0989,-1.004803708,0.0989,0.668,0,0.08631,-1.063938883,0.059135175,0.003496969
3,11,16,1,h,g,3/04/2020,f,0.1041,-0.98254927,0.1041,0.672,0,0.08631,-1.063938883,0.081389613,0.006624269
4,10,20,1,l,h,3/04/2020,f,0.0974,-1.011441043,0.0974,0.749,0,0.08815,-1.054777683,0.04333664,0.001878064
5,10,22,1,l,h,3/04/2020,f,0.0973,-1.01188716,0.0973,0.804,0,0.08815,-1.054777683,0.042890523,0.001839597
6,15,13,1,h,e,3/04/2020,f,0.0996,-1.001740662,0.0996,0.604,0,0.08631,-1.063938883,0.062198221,0.003868619
7,15,14,1,h,e,3/04/2020,f,0.1057,-0.975925013,0.1057,0.635,0,0.08631,-1.063938883,0.08801387,0.007746441
8,15,15,1,h,e,3/04/2020,f,0.1023,-0.990124366,0.1023,0.668,0,0.08631,-1.063938883,0.073814517,0.005448583
9,16,5,1,l,b,3/04/2020,f,0.0919,-1.036684489,0.0919,0.71,0,0.08815,-1.054777683,0.018093194,0.000327364
10,18,13,1,h,d,3/04/2020,f,0.099,-1.004364805,0.099,0.767,0,0.08631,-1.063938883,0.059574078,0.003549071
11,18,15,1,h,i,3/04/2020,f,0.0939,-1.027334408,0.0939,0.615,0,0.08631,-1.063938883,0.036604475,0.001339888
12,13,1,1,h,a,4/04/2020,f,0.1056,-0.976336082,0.1056,0.662,0,0.08631,-1.063938883,0.087602801,0.007674251
13,12,17,1,h,h,4/04/2020,f,0.1015,-0.993533958,0.1015,0.66,0,0.08631,-1.063938883,0.070404925,0.004956854
14,20,19,1,l,h,4/04/2020,f,0.0977,-1.010105436,0.0977,0.702,0,0.08815,-1.054777683,0.044672247,0.00199561
15,11,23,1,h,j,4/04/2020,f,0.0997,-1.001304842,0.0997,0.674,0,0.08631,-1.063938883,0.062634041,0.003923023
16,16,13,1,l,d,4/04/2020,f,0.1001,-0.999565923,0.1001,0.644,0,0.08815,-1.054777683,0.05521176,0.003048338
17,16,19,1,l,g,4/04/2020,f,0.1064,-0.973058372,0.1064,0.658,0,0.08815,-1.054777683,0.081719311,0.006678046
18,14,5,1,l,b,4/04/2020,f,0.0955,-1.019996628,0.0955,0.63,0,0.08815,-1.054777683,0.034781055,0.001209722
19,14,7,1,l,c,4/04/2020,f,0.0961,-1.017276612,0.0961,0.584,0,0.08815,-1.054777683,0.037501071,0.00140633
20,14,9,1,l,d,4/04/2020,f,0.0932,-1.030584088,0.0932,0.739,0,0.08815,-1.054777683,0.024193595,0.00058533
21,19,1,1,l,b,4/04/2020,f,0.1034,-0.985479461,0.1034,0.84,0,0.08815,-1.054777683,0.069298222,0.004802244
22,2,1,1,l,a,5/04/2020,f,0.0955,-1.019996628,0.0955,0.629,0,0.08815,-1.054777683,0.034781055,0.001209722
23,2,5,1,l,e,5/04/2020,f,0.0783,-1.106238238,0.0783,0.705,0,0.08815,-1.054777683,-0.051460555,0.002648189
24,9,18,1,l,g,5/04/2020,f,0.1235,-0.908333042,0.1235,0.713,0,0.08815,-1.054777683,0.146444641,0.021446033
