lineage,focal.ID,round,cc2,f0 mother,collection.date,larvalsize.mm,juvenile.sizing.date,juvenile.size.mm,final.moult.date,first.clutch date,delta,days.to.adulthood,sex,adult.size.mm,no.adult.photo,size.at.death,death stage (l/j/a),death date,days.to.death,unpaired,up
8,1,1,8.1,a,27/03/2020,0.0952,30/03/2020,0.2521,,,,,m,0.519,,0.5192,a,20/04/2020,24,,
8,2,1,8.1,a,27/03/2020,0.0982,31/03/2020,0.3091,,,,,m,0.576,,0.5762,a,18/04/2020,22,,
8,3,1,8.1,a,27/03/2020,0.0992,30/03/2020,0.2741,,,,,m,0.523,,0.5227,a,18/04/2020,22,,
10,1,1,10.1,a,27/03/2020,0.0961,31/03/2020,0.2323,,,,,m,0.531,,0.5313,a,15/04/2020,19,,
10,2,1,10.1,a,27/03/2020,0.0996,31/03/2020,0.2666,,,,,f,0.636,,0.6363,a,22/04/2020,26,,
10,3,1,10.1,a,27/03/2020,0.0933,30/03/2020,0.2639,,,,,m,0.645,,0.6447,a,20/04/2020,24,,
10,4,1,10.1,b,28/03/2020,0.1215,31/03/2020,0.2657,,,,,f,0.626,,0.626,a,22/04/2020,25,,
10,5,1,10.1,b,28/03/2020,0.1214,31/03/2020,0.2712,,12/04/2020,,,f,0.712,,0.712,a,23/04/2020,26,,
10,6,1,10.1,b,28/03/2020,0.1185,31/03/2020,0.2714,,,,,m,0.432,,0.4319,a,16/04/2020,19,,
10,7,1,10.1,c,28/03/2020,0.0988,1/04/2020,0.2537,,,,,m,0.527,,0.5268,a,17/04/2020,20,,
10,8,1,10.1,c,28/03/2020,0.0927,1/04/2020,0.2775,,,,,m,,1,,a,20/04/2020,23,,
10,9,1,10.1,c,28/03/2020,0.1015,1/04/2020,0.2327,,,,,m,0.493,,0.4933,a,20/04/2020,23,,
9,1,1,9.1,a,28/03/2020,0.1024,31/03/2020,0.2593,,,,,m,,1,,a,19/04/2020,22,,
9,2,1,9.1,a,28/03/2020,0.0996,31/03/2020,0.2383,,,,,m,0.492,,0.4923,a,19/04/2020,22,,
9,3,1,9.1,a,28/03/2020,0.1017,1/04/2020,0.2515,,,,,m,0.52,,0.52,a,19/04/2020,22,,
10,10,1,10.1,e,29/03/2020,0.0953,1/04/2020,0.26,,,,,m,,1,,a,16/04/2020,18,,
10,11,1,10.1,e,29/03/2020,0.0994,1/04/2020,0.2607,,,,,m,0.53,,0.5304,a,15/04/2020,17,,
10,12,1,10.1,e,29/03/2020,0.0966,1/04/2020,0.2318,,,,,m,0.486,,0.4864,a,14/04/2020,16,,
10,13,1,10.1,f,29/03/2020,0.0877,,,,,,,m,0.511,,0.511,a,3/05/2020,35,,
10,14,1,10.1,f,29/03/2020,0.0741,,,,,,,m,0.511,,0.5111,a,5/05/2020,37,,
10,15,1,10.1,f,29/03/2020,0.0955,1/04/2020,0.2629,,,,,m,0.557,,0.557,a,19/04/2020,21,,
7,1,1,7.1,a,27/03/2020,0.0957,,,,,,,m,0.514,,0.5144,a,20/04/2020,24,,
7,2,1,7.1,a,27/03/2020,0.0952,1/04/2020,0.2508,,,,,m,0.644,,0.6436,a,15/04/2020,19,,
7,3,1,7.1,a,27/03/2020,0.0978,,,,,,,m,0.558,,0.5581,a,16/04/2020,20,,
7,4,1,7.1,a,27/03/2020,0.0936,,,,,,,m,,1,,a,,,,
20,1,1,20.1,a,29/03/2020,0.1024,1/04/2020,0.2422,,,,,m,0.52,,0.5196,a,20/04/2020,22,,
20,2,1,20.1,a,29/03/2020,0.0944,1/04/2020,0.2505,,,,,f,0.592,,0.5923,a,19/04/2020,21,,
20,3,1,20.1,a,29/03/2020,0.0985,1/04/2020,0.259,,,,,m,0.489,,0.4887,a,18/04/2020,20,,
20,4,1,20.1,b,29/03/2020,0.0754,,,,,,,,,,0.0864,l,1/04/2020,3,,
20,5,1,20.1,b,29/03/2020,0.0773,,,14/04/2020,,,16,m,0.388,,0.388,a,25/04/2020,27,,
20,6,1,20.1,b,29/03/2020,0.0783,,,,,,,m,0.467,,0.4672,a,17/04/2020,19,,
10,16,1,10.1,d,30/03/2020,0.129,,,12/04/2020,,,13,m,,1,,a,23/04/2020,24,,
10,17,1,10.1,d,30/03/2020,0.0963,,,,,,,,,,0.216,j,4/04/2020,5,,
10,18,1,10.1,d,30/03/2020,0.1313,,,,,,,m,0.48,,0.4804,a,27/04/2020,28,,
12,1,1,12.1,a,30/03/2020,0.0976,,,,,,,m,0.463,,0.4627,a,2/05/2020,33,,
12,2,1,12.1,a,30/03/2020,0.1007,,,,,,,m,0.479,,0.479,a,23/04/2020,24,,
12,3,1,12.1,a,30/03/2020,0.1009,,,13/04/2020,14/04/2020,1,14,f,0.764,,0.7636,a,1/05/2020,32,,
12,4,1,12.1,a,30/03/2020,0.0963,,,14/04/2020,,,15,f,0.597,,0.5965,a,22/04/2020,23,,
20,7,1,20.1,c,30/03/2020,0.0931,,,,,,,m,0.429,,0.4288,a,18/04/2020,19,,
20,8,1,20.1,c,30/03/2020,0.0942,,,,,,,m,0.508,,0.5082,a,15/04/2020,16,,
20,9,1,20.1,c,30/03/2020,0.094,,,,,,,m,,1,,a,24/04/2020,25,,
15,1,1,15.1,a,31/03/2020,0.0934,,,14/04/2020,15/04/2020,1,14,f,0.736,,0.7359,a,1/05/2020,31,,
15,2,1,15.1,a,31/03/2020,0.0993,,,,,,,m,0.578,,0.5777,a,30/04/2020,30,,
15,3,1,15.1,a,31/03/2020,0.0948,,,,,,,,,1,,,,,,
15,4,1,15.1,a,31/03/2020,0.0962,,,,,,,,,1,,,,,,
15,5,1,15.1,b,31/03/2020,0.1092,,,14/04/2020,6/05/2020,22,14,f,0.6816,,0.6816,a,8/05/2020,38,,
15,6,1,15.1,b,31/03/2020,0.0983,,,14/04/2020,15/04/2020,1,14,f,0.55,,0.5496,a,26/04/2020,26,,
15,7,1,15.1,b,31/03/2020,0.1087,,,,,,,m,0.485,,0.4845,a,27/04/2020,27,,
15,8,1,15.1,b,31/03/2020,0.1048,8/04/2020,0.2309,,,,,,,,,j,,,,
20,10,1,20.1,d,31/03/2020,0.0938,,,,14/04/2020,,,f,0.681,,0.6811,a,26/04/2020,26,,
20,11,1,20.1,d,31/03/2020,0.0987,,,,,,13,m,0.607,,0.6072,a,24/04/2020,24,,
