Lineage,Round,Mother.ID,Cohort num,Collection Date,Hatch Date,NextClutch,Mother.length.mm,Eggsac.area.mm2,Offspring.Count,egg1,egg2,egg3,egg4,egg5,egg6,egg7,egg8,egg9,egg10,larva1,larva2,larva3,larva4,larva5,larva6,larva7,larva8,larva9,larva10
1,1,8,1,29/04/2020,1/05/2020,3,0.7224,0.0364,20,0.0423,0.0412,0.0381,0.0403,0.0352,0.037,0.0461,0.0347,0.0436,0.0439,0.0951,0.0996,0.1021,0.1019,0.0973,0.102,0.1077,0.1037,0.1061,0.1001
1,1,8,2,2/05/2020,4/05/2020,,0.6724,0.0547,39,0.0639,0.0669,0.0573,0.0564,0.0602,0.0666,0.0628,0.063,0.0607,0.0439,0.1076,0.1062,0.104,0.1039,0.1068,0.1059,0.1024,0.1088,0.1018,0.0988
2,1,1,1,19/04/2020,21/04/2020,3,0.7299,0.0623,47,0.0418,0.0489,0.0501,0.0596,0.0571,0.05,0.0528,0.0603,0.0605,0.0438,0.1038,0.095,0.1011,0.1083,0.0949,0.0953,0.0915,0.0972,0.1004,0.0968
2,1,1,2,22/04/2020,24/04/2020,3,0.71,0.0677,32,0.0551,0.0563,0.0602,0.0575,0.063,0.0605,0.0584,0.0562,0.0561,0.061,0.1029,0.1013,0.0986,0.1075,0.1073,0.1036,0.1049,0.1049,0.1005,0.0991
2,1,1,3,24/04/2020,27/04/2020,2,0.7794,0.0578,30,0.06,0.0615,0.0614,0.0575,0.0559,0.0545,0.0514,0.0556,0.0555,0.0437,0.1264,0.1319,0.1124,0.1199,0.1294,0.124,0.1205,0.1228,0.1247,0.1284
2,1,1,4,27/04/2020,29/04/2020,3,0.6448,0.0568,34,0.0566,0.0478,0.0511,0.042,0.0451,0.0415,0.042,0.0447,0.046,0.0456,0.097,0.0935,0.0874,0.0903,0.0996,0.1007,0.094,0.0874,0.0972,0.0938
2,1,1,5,30/04/2020,2/05/2020,,0.6949,0.0598,44,0.054,0.0587,0.058,0.0534,0.0675,0.0561,0.0571,0.0647,0.0608,0.0529,0.0915,0.0907,0.0918,0.0945,0.099,0.1004,0.0927,0.0882,0.0964,0.0968
2,1,12,1,24/04/2020,27/04/2020,,0.7165,0.0343,12,0.0575,0.0575,0.0582,0.0684,0.0511,0.0602,,,,,0.1205,0.1247,0.1239,0.1241,0.1195,0.1166,0.1145,0.1192,0.1284,0.1179
2,1,5,1,20/04/2020,22/04/2020,6,0.7065,0.0729,18,0.0574,0.0452,0.0644,0.0489,0.0564,0.0587,0.053,0.0463,0.059,0.0492,0.106,0.106,0.1035,0.1441,0.0996,0.0996,0.1148,0.1082,0.1437,0.0939
2,1,5,2,26/04/2020,28/04/2020,,0.696,0.0506,32,0.0524,0.0564,0.0564,0.0437,0.0523,0.0587,0.056,0.0529,0.0548,0.0561,0.0886,0.0961,0.0992,0.0948,0.1032,0.0909,0.0974,0.0958,0.1027,0.0915
2,1,6,1,22/04/2020,25/04/2020,3,0.732,0.0523,25,0.0479,0.0527,0.0531,0.0519,0.0519,0.0404,0.0532,0.0522,0.0502,0.0486,0.103,0.1021,0.1032,0.0955,0.1267,0.0954,0.0926,0.1259,0.0905,0.0968
2,1,6,2,25/04/2020,28/04/2020,3,0.7357,0.0655,33,0.0594,0.062,0.0639,0.0605,0.0629,0.0671,0.0502,0.0613,0.0582,0.0624,0.0982,0.0992,0.096,0.1002,0.0996,0.1059,0.0968,0.0931,0.1047,0.0992
2,1,6,3,28/04/2020,1/05/2020,3,0.7404,0.049,20,0.0483,0.0481,0.0576,0.0508,0.0466,0.05,0.0481,0.0472,0.0483,0.05,0.1016,0.0926,0.0937,0.0999,0.1259,0.1014,0.0982,0.1019,0.0995,0.1016
2,1,6,4,1/05/2020,4/05/2020,4,0.7582,0.0498,10,0.0587,0.0585,0.0581,0.0549,0.0516,0.0453,0.047,0.0412,0.0472,0.0522,0.1264,0.128,0.1383,0.1258,,,,,,
2,1,6,5,4/05/2020,8/05/2020,5,0.7374,0.048,5,0.0415,0.0466,0.0476,0.0571,0.0495,0.0553,0.0507,0.0495,0.052,0.05,0.098,0.108,0.106,0.1069,,,,,,
2,1,6,6,10/05/2020,13/05/2020,6,0.7542,0.0319,5,0.0496,0.041,0.0471,0.042,0.0472,0.0513,0.0491,0.0481,0.0495,0.0482,0.091,0.0869,0.1061,0.1169,0.0861,,,,,
2,1,6,7,16/05/2020,19/05/2020,,0.7623,0.0305,1,0.0571,0.0546,0.0433,0.0362,0.0502,0.0616,0.0522,0.057,0.0489,0.0566,0.0628,,,,,,,,,
2,1,8,1,26/04/2020,29/04/2020,4,0.6716,0.0311,11,0.0496,0.0488,0.044,0.046,0.0392,0.0443,0.0398,0.0421,0.0411,0.0394,0.1004,0.104,0.0984,0.1062,0.1134,0.1044,0.1022,0.1107,,
2,1,8,2,1/05/2020,3/05/2020,,0.7149,0.0495,27,0.0553,0.0525,0.0547,0.0521,0.0599,0.051,0.0524,0.0548,0.0503,0.0505,,,,,,,,,,
2,1,,,6/05/2020,8/05/2020,,0.7475,0.0307,14,0.0579,0.051,0.0515,0.0427,0.0476,0.0514,0.0496,0.0488,0.0543,,0.0869,0.0924,0.0859,0.0864,0.0871,0.0898,0.084,0.0873,0.0857,0.083
2,1,,,6/05/2020,,,0.7234,0.0066,0,0.0456,0.046,0.0433,,,,,,,,,,,,,,,,,
6,1,1,1,25/04/2020,27/04/2020,,0.7691,0.0512,28,0.0636,0.0548,0.0574,0.0552,0.0671,0.0727,0.0681,0.0657,0.0566,0.053,0.1255,0.0907,0.1298,0.1298,0.1295,0.0903,0.0877,0.104,0.1245,0.1267
6,1,14,1,2/05/2020,6/05/2020,,0.7874,0.0221,0,0.0442,0.0528,0.0486,0.0422,0.0391,0.0486,0.0394,0.0494,0.0538,0.0537,,,,,,,,,,
6,1,15,1,27/04/2020,29/04/2020,,0.6982,0.0444,4,0.0484,0.0523,0.0449,0.0532,0.0609,0.0591,0.059,0.0499,0.0439,,0.0857,0.0708,0.0701,0.0898,,,,,,
6,1,3,1,20/04/2020,22/04/2020,3,0.7613,0.0686,5,0.0443,0.0548,0.0548,0.0534,0.052,0.0547,0.056,0.0473,0.0552,0.0597,0.119,0.1238,0.1274,0.1343,0.1377,,,,,
6,1,3,2,23/04/2020,25/04/2020,,0.7828,0.0537,33,0.0429,0.0459,0.0433,0.045,0.0501,0.0383,0.0448,0.0429,0.0411,0.0435,0.0962,0.0956,0.0926,0.0962,0.0961,0.0967,0.0957,0.092,0.0991,0.1028
7,1,14,1,18/04/2020,21/04/2020,1,0.6977,0.0549,14,0.0425,0.052,0.0363,0.0445,0.0433,0.0509,0.048,0.0486,0.048,0.0532,0.107,0.1049,0.1019,0.1049,0.0968,0.1065,0.1102,0.0989,0.1053,0.101
7,1,14,2,21/04/2020,22/04/2020,5,0.6998,0.0497,30,0.058,0.0547,0.0565,0.0549,0.0535,0.044,0.0471,0.0403,0.0433,0.0519,0.1069,0.1155,0.1082,0.1186,0.1219,,,,,
7,1,14,3,25/04/2020,27/04/2020,4,0.6971,0.0454,8,0.053,0.06,0.061,0.0573,0.0517,0.0503,0.0529,0.0573,0.0543,0.0548,0.1155,0.1156,0.0968,0.1183,0.1248,0.1238,0.1214,,,
7,1,14,4,29/04/2020,1/05/2020,,0.7066,0.0466,20,0.056,0.0552,0.0601,0.0657,0.0652,0.0594,0.0608,0.0612,0.0559,0.0547,0.1345,0.1345,0.1355,0.1327,0.1315,0.1357,0.1534,0.133,0.1397,0.1355
7,1,21,1,28/04/2020,30/04/2020,,0.7658,0.0472,28,0.0561,0.0582,0.0516,0.0635,0.0564,0.0508,0.0596,0.0591,0.0502,0.0552,0.0952,0.0999,0.0989,0.0943,0.0929,0.1038,0.1068,0.0967,0.0933,0.096
7,1,19,1,21/04/2020,25/04/2020,3,0.6771,0.0542,31,0.0488,0.0541,0.068,0.0512,0.0606,0.06,0.0634,0.0525,0.0646,0.0494,0.1258,0.0952,0.1006,0.1038,,,,,,
7,1,19,2,26/04/2020,28/04/2020,3,0.6749,0.0312,8,0.0495,0.0469,0.046,0.05,0.0462,0.0487,0.0387,0.0492,0.0474,0.0437,0.0972,0.0999,0.0928,0.0942,,,,,,
7,1,19,3,29/04/2020,1/05/2020,3,0.7524,0.0564,25,0.0524,0.0541,0.0574,0.0512,0.056,0.054,0.0618,0.0418,0.0591,0.0502,0.1316,0.1325,0.1361,0.1408,0.1432,0.1316,0.1314,0.1334,0.1348,0.136
7,1,19,4,1/05/2020,4/05/2020,2,0.7399,0.0506,31,0.0542,0.0442,0.0522,0.0574,0.0496,0.0487,0.0553,0.052,0.0399,0.0532,0.1601,0.129,0.13,0.1323,0.1312,0.1271,0.1294,0.1363,0.1283,0.1295
7,1,19,5,4/05/2020,6/05/2020,6,0.7219,0.0393,15,0.0515,0.0521,0.0618,0.0598,0.0557,0.0632,0.0544,0.0534,0.0544,0.055,0.095,0.1009,0.0998,0.1047,0.1017,0.109,0.1066,0.1104,0.1087,0.1022
7,1,19,6,10/05/2020,12/05/2020,,0.6604,0.0227,8,0.0611,0.0607,0.0573,0.0569,,,,,,,0.1224,0.0889,0.096,0.1263,0.1009,0.0911,0.0956,,,
7,1,27,2,29/04/2020,1/05/2020,4,0.7643,0.0465,4,0.0529,0.0507,0.0498,0.0427,0.0548,0.0654,0.0622,0.0513,0.0531,0.0575,0.109,0.1012,0.1031,0.1011,,,,,,
7,1,22,1,21/04/2020,24/04/2020,,0.7006,0.067,23,0.0473,0.048,0.0483,0.0468,0.0532,0.0587,0.0579,0.0524,0.0573,0.0488,0.0989,0.0931,0.0974,0.0921,0.097,0.0924,0.0986,0.0976,0.0967,0.0883
7,1,27,1,24/04/2020,27/04/2020,4,0.6767,0.022,4,0.0481,0.0468,0.0638,0.0495,0.0524,0.0538,0.049,0.0595,0.0477,0.047,0.0845,,,,,,,,,
7,1,27,3,,5/05/2020,,0.7194,0.0189,3,0.0555,0.054,0.0524,0.0451,0.0496,0.0513,,,,,0.0898,0.0932,,,,,,,,
8,1,10,1,22/04/2020,24/04/2020,4,0.6632,0.0419,7,0.0505,0.044,0.049,0.0408,0.0441,0.0498,0.0427,0.0579,0.0447,0.0492,0.1004,0.0992,0.0999,0.1272,0.112,0.0999,,,,
8,1,10,2,26/04/2020,28/04/2020,3,0.73,0.0356,5,0.0626,0.0525,0.0568,0.0641,0.0469,0.053,0.061,0.0519,0.0558,0.0522,0.1031,,,,,,,,,
8,1,10,3,29/04/2020,1/05/2020,3,0.7269,0.0421,11,0.0566,0.0601,0.0465,0.0596,0.0555,0.0473,0.0515,0.065,0.0534,0.0528,0.1041,0.1078,0.106,0.1093,0.1126,0.1111,0.1013,0.106,,
8,1,10,4,2/05/2020,4/05/2020,,0.732,0.0344,9,0.0549,0.0576,0.0519,0.0668,0.0709,0.0471,0.0555,0.0609,0.0684,0.0613,0.1055,0.1137,0.1019,0.08,0.0967,0.1047,0.085,,,
8,1,12,1,23/04/2020,,,0.7321,0.0056,,0.0608,0.0607,,,,,,,,,,,,,,,,,,
9,1,13,1,19/04/2020,21/04/2020,3,0.7639,0.0659,35,0.0495,0.0379,0.0587,0.0731,0.0651,0.0543,0.0615,0.0605,0.0539,0.0563,0.0996,0.1027,0.0989,0.0946,0.1017,0.1033,0.0994,0.0941,0.0993,0.1011
9,1,13,2,22/04/2020,24/04/2020,3,0.7102,0.0411,31,0.0465,0.032,0.0424,0.044,0.0402,0.0361,0.0364,0.044,0.0334,0.0263,0.096,0.091,0.1027,0.0945,0.0978,0.1019,0.0984,0.1017,0.0926,0.0939
9,1,13,3,25/04/2020,27/04/2020,6,0.6441,0.045,25,0.0471,0.0485,0.0516,0.0455,0.0443,0.0473,0.0477,0.0466,0.0415,0.0481,0.1009,0.1019,0.0975,0.1068,0.0987,0.1031,0.1,0.1063,0.1016,0.1022
9,1,13,4,1/05/2020,3/05/2020,,0.6691,0.0255,8,0.0503,0.0503,0.0461,0.0353,0.0392,0.0382,0.0403,0.0412,0.0427,,,,,,,,,,,
9,1,14,1,19/04/2020,21/04/2020,,0.6499,0.0472,28,0.0604,0.0544,0.0539,0.0582,0.0661,0.0482,0.0484,0.0618,0.0566,0.0641,0.1033,0.1046,0.1007,0.1056,0.1021,0.1014,0.0969,0.1119,0.1079,0.1026
9,1,18,1,20/04/2020,22/04/2020,3,0.7098,0.0515,28,0.0675,0.064,0.0648,0.0553,0.0638,0.0585,0.0576,0.0638,0.0621,0.0563,0.0935,0.0958,0.0959,0.0869,0.0992,0.0951,0.1007,0.1076,0.1036,0.099
9,1,18,2,23/04/2020,25/04/2020,,0.7169,0.0466,37,0.0515,0.0602,0.0514,0.0551,0.0535,0.0542,0.0475,0.0488,0.0477,,0.102,0.091,0.0996,0.0908,0.1001,0.1048,0.099,0.1061,0.0964,0.0996
9,1,19,1,19/04/2020,22/04/2020,2,0.7526,0.0643,10,0.0585,0.0471,0.0522,0.0521,0.0567,0.0468,0.0448,0.0462,0.0487,0.0557,0.1001,0.1021,0.1057,0.1037,0.1078,0.102,0.0939,0.1028,,
9,1,19,2,22/04/2020,24/04/2020,4,0.7152,0.0522,31,0.0524,0.043,0.0524,0.0461,0.0522,0.0455,0.0541,0.0529,0.0536,0.0489,0.1043,0.0898,0.0922,0.0988,0.0962,0.0968,0.1013,0.0984,0.1034,0.1021
9,1,19,3,26/04/2020,28/04/2020,5,0.634,0.0436,21,0.0671,0.0599,0.0596,0.0632,0.0557,0.0539,0.0547,0.0525,0.0513,0.0641,0.0989,0.1,0.0992,0.1047,0.0974,0.1,0.096,0.0987,0.0955,0.0959
9,1,19,4,1/05/2020,3/05/2020,,0.7179,0.0152,10,0.049,0.0543,0.0616,0.0604,0.0563,0.0564,,,,,,,,,,,,,,
10,1,20,1,17/04/2020,19/04/2020,5,0.8023,0.0725,41,0.0557,0.056,0.0567,0.0604,0.0557,0.0618,0.0592,0.0598,0.0679,0.0547,0.0968,0.0956,0.0956,0.1001,0.0975,0.0969,0.0854,0.1013,0.1057,0.0964
